cond_numeric	Condition	participant_a	participant_b	z_transformed_rank_r	pp_a_n_clusters	pp_b_n_clusters	cat_diff_log_ratio_a	cat_diff_log_ratio_b	mean_alignment_within	mean_alignment_between
-1	Baseline	CEL_baseline_116	CEL_baseline_135	0.075015223	5	4	0.280682312	0.376474817	0.080868918	-0.036271524
-1	Baseline	CEL_baseline_116	CEL_baseline_137	0.16619116	5	4	0.280682312	0.10045518	0.192241953	0.085004632
-1	Baseline	CEL_baseline_116	CEL_baseline_162	0.172899291	5	2	0.280682312	0.434024199	0.095984513	-0.062077819
-1	Baseline	CEL_baseline_116	CEL_baseline_165	-0.07340732	5	4	0.280682312	0.223624136	-0.16758143	-0.132006588
-1	Baseline	CEL_baseline_116	CEL_baseline_166	0.118590508	5	4	0.280682312	0.146715943	-0.019601638	0.218220657
-1	Baseline	CEL_baseline_116	CEL_baseline_167	0.164641456	5	6	0.280682312	0.073317675	0.091168324	0.222622883
-1	Baseline	CEL_baseline_116	CEL_baseline_168	0.151022979	5	2	0.280682312	0.06222896	0.221600899	0.068911757
-1	Baseline	CEL_baseline_116	CEL_baseline_169	0.126129238	5	2	0.280682312	0.015236417	0.22448927	0.029327337
-1	Baseline	CEL_baseline_116	CEL_baseline_170	0.129283938	5	3	0.280682312	0.01280229	0.183154364	0.062644072
-1	Baseline	CEL_baseline_116	CEL_baseline_171	0.392724385	5	4	0.280682312	0.410811993	0.297114077	0.19635248
-1	Baseline	CEL_baseline_116	CEL_baseline_172	0.206526193	5	4	0.280682312	0.32347555	0.014941228	0.254398567
-1	Baseline	CEL_baseline_116	CEL_baseline_173	0.071125306	5	3	0.280682312	0.07388028	0.05668491	0.027381579
-1	Baseline	CEL_baseline_116	CEL_baseline_176	0.212343974	5	7	0.280682312	0.384077036	0.114454093	0.101505299
-1	Baseline	CEL_baseline_116	CEL_baseline_177	0.186505621	5	2	0.280682312	0.997333253	-0.146665577	-0.112248244
-1	Baseline	CEL_baseline_116	CEL_baseline_179	0.058622701	5	3	0.280682312	0.266157758	-0.239336028	0.246162661
-1	Baseline	CEL_baseline_116	CEL_baseline_181	0.033875094	5	2	0.280682312	0.238608073	0.07861569	-0.17630164
-1	Baseline	CEL_baseline_116	CEL_baseline_182	0.261958109	5	2	0.280682312	3.445669382	0.055739205	-0.051544604
-1	Baseline	CEL_baseline_116	CEL_baseline_183	0.188242368	5	4	0.280682312	1.160857409	-0.034250038	-0.088761885
-1	Baseline	CEL_baseline_116	CEL_baseline_184	0.201529552	5	6	0.280682312	0.680291098	-0.172904298	0.347005696
-1	Baseline	CEL_baseline_116	CEL_baseline_185	0.173182281	5	5	0.280682312	0.239683688	0.233976107	0.079036048
-1	Baseline	CEL_baseline_116	CEL_baseline_186	0.09969348	5	4	0.280682312	0.49694547	-0.130170653	0.285872911
-1	Baseline	CEL_baseline_116	CEL_baseline_187	0.153499173	5	4	0.280682312	0.196388029	0.147086093	0.084581563
-1	Baseline	CEL_baseline_116	CEL_baseline_188	0.036831227	5	5	0.280682312	0.22198018	0.054918337	-0.017259439
-1	Baseline	CEL_baseline_116	CEL_baseline_189	0.280781631	5	3	0.280682312	0.17580039	0.116931233	0.441262903
-1	Baseline	CEL_baseline_116	CEL_baseline_191	0.21662007	5	5	0.280682312	0.421234675	-0.086024994	0.416781336
-1	Baseline	CEL_baseline_116	CEL_baseline_193	0.255553949	5	8	0.280682312	0.69979533	0.111127298	0.004392467
-1	Baseline	CEL_baseline_116	CEL_baseline_195	-0.067400169	5	7	0.280682312	0.118083885	-0.231918447	0.080557849
-1	Baseline	CEL_baseline_116	CEL_baseline_196	-0.032633273	5	5	0.280682312	0.152536494	0.000205787	-0.189415989
-1	Baseline	CEL_baseline_116	CEL_baseline_197	0.337378416	5	6	0.280682312	0.845256607	-0.049290176	0.463321284
-1	Baseline	CEL_baseline_118	CEL_baseline_120	-0.033108839	5	5	-0.066796051	-0.005659979	0.002099045	-0.053161495
-1	Baseline	CEL_baseline_118	CEL_baseline_123	0.003654012	5	3	-0.066796051	0.3651375	-0.06979306	0.091826385
-1	Baseline	CEL_baseline_118	CEL_baseline_124	-0.047314907	5	2	-0.066796051	0.090431415	-0.109161008	0.006336718
-1	Baseline	CEL_baseline_118	CEL_baseline_125	0.087806047	5	3	-0.066796051	-0.018682389	0.044817405	0.133056926
-1	Baseline	CEL_baseline_118	CEL_baseline_126	0.04870552	5	4	-0.066796051	0.006696422	0.053134692	0.038446775
-1	Baseline	CEL_baseline_118	CEL_baseline_128	-0.041550103	5	2	-0.066796051	0.914291174	0.044801094	-0.036926577
-1	Baseline	CEL_baseline_118	CEL_baseline_129	-0.050352492	5	3	-0.066796051	1.07280287	-0.047878439	0.061023914
-1	Baseline	CEL_baseline_118	CEL_baseline_130	0.074526964	5	3	-0.066796051	0.264998033	0.094688697	0.090688851
-1	Baseline	CEL_baseline_118	CEL_baseline_131	-0.034358539	5	4	-0.066796051	0.227739309	-0.0822776	0.045864716
-1	Baseline	CEL_baseline_118	CEL_baseline_133	-0.067305233	5	2	-0.066796051	-0.002317724	-0.091151724	-0.049966534
-1	Baseline	CEL_baseline_118	CEL_baseline_134	0.195936582	5	4	-0.066796051	0.152119223	0.191097915	0.232545957
-1	Baseline	CEL_baseline_118	CEL_baseline_135	0.129962679	5	4	-0.066796051	0.376474817	0.121606748	0.145353515
-1	Baseline	CEL_baseline_118	CEL_baseline_137	-0.014208377	5	4	-0.066796051	0.10045518	0.054273914	-0.057464911
-1	Baseline	CEL_baseline_118	CEL_baseline_162	-0.075721643	5	2	-0.066796051	0.434024199	-0.053629988	-0.031273318
-1	Baseline	CEL_baseline_118	CEL_baseline_165	-0.032191945	5	4	-0.066796051	0.223624136	-0.063186919	0.002364241
