"cond_numeric"	"pair"	"rank_r"	"z_transformed_rank_r"	"adjusted_mutual_info"	"adjusted_rand_index"	"participant_a"	"participant_b"
0	"5-106"	0.349555707450444	0.364937527641133	0.552795286684957	0.573353293413174	5	106
0	"5-79"	0.178332194121668	0.180259569295362	0.46644501789511	0.378834355828221	5	79
0	"5-45"	0.18215994531784	0.184215860514398	0.371122532740618	0.378342245989305	5	45
0	"5-41"	0.0714969241285031	0.0716191253841967	0.460046191143213	0.427339901477833	5	41
0	"5-31"	0.19815786328702	0.200814395439315	0.619018023577271	0.533678756476684	5	31
0	"5-15"	0.014149008885851	0.0141499531836417	0.295986475055661	0.19478527607362	5	15
0	"94-98"	0.293301435406699	0.302174631872534	0.283171350130929	0.264538198403649	94	98
0	"94-72"	0.194395078605605	0.196900837730091	0.198639435130461	0.126671911880409	94	72
0	"94-119"	0.0997949419002051	0.100128222624551	0.225994617717625	0.230028873917228	94	119
0	"94-87"	0.134723171565277	0.135547254928624	0.0938410899891341	0.064327485380117	94	87
0	"94-106"	-0.00956937799043062	-0.00956967010534871	0.193789839947465	0.181725196045005	94	106
0	"94-79"	0.168421052631579	0.170041174422656	0.281807345113645	0.168687218565985	94	79
0	"94-45"	0.293848257006152	0.302773026878387	0.3727568947177	0.355042680999052	94	45
0	"94-41"	0.514900888585099	0.569376036117346	0.415229537264781	0.354645951598446	94	41
0	"94-31"	0.20242998003605	0.205265070745806	0.328308005306711	0.313118811881188	94	31
0	"94-15"	-0.255639097744361	-0.261436981141083	0.154555022850103	0.085555940422584	94	15
0	"98-72"	0.0261790840738209	0.0261850670975367	0.264261846728698	0.156908665105386	98	72
0	"98-119"	0.234723171565277	0.23918221787705	0.401406725906341	0.436860068259386	98	119
0	"98-87"	0.271565276828435	0.278552952398516	0.331557340671108	0.175438596491228	98	87
0	"98-106"	0.268215994531784	0.274940533629945	0.496211428267723	0.466130884041332	98	106
0	"98-79"	0.182706766917293	0.184781507968534	0.650830415367382	0.533947065592635	98	79
0	"98-45"	0.172658920027341	0.17440599508429	0.346999458987311	0.370034052213394	98	45
0	"98-41"	0.446684894053315	0.480551143421644	0.6003170142718	0.645669291338583	98	41
0	"98-31"	0.284420444683439	0.292485049271073	0.448507448805031	0.524886877828054	98	31
0	"98-15"	-0.201982228298018	-0.204798231185492	0.279565901424498	0.223245109321059	98	15
0	"72-119"	0.0762132604237867	0.0763613374122885	0.181621265061026	0.111617312072893	72	119
0	"72-87"	-0.213943950786056	-0.21730085109741	0.0279221556624681	0.0196078431372549	72	87
0	"72-106"	0.062406015037594	0.0624872185022455	0.36075867392617	0.232127096204766	72	106
0	"72-79"	0.0325358851674641	0.0325473731188316	0.445150102666212	0.365225390984361	72	79
0	"72-45"	0.162064251537936	0.163505902371367	0.375814909353597	0.229640498899486	72	45
0	"72-41"	-0.0508544087491456	-0.0508983162979293	0.457721268295452	0.282482223658694	72	41
0	"72-31"	0.110186435190989	0.110635638397143	0.59225776033848	0.371508379888268	72	31
0	"72-15"	0.215242652084757	0.21866224521138	0.376386323868408	0.254829806807728	72	15
0	"119-87"	0.14771018455229	0.148798732281442	0.197499831941493	0.141242937853107	119	87
0	"119-106"	0.485030758714969	0.529541795370855	0.519942972140819	0.478435305917753	119	106
0	"119-79"	0.035475051264525	0.0354899440502815	0.281121659983642	0.18616480162767	119	79
0	"119-45"	0.167532467532468	0.169126788775475	0.371248028871115	0.36269915651359	119	45
