"","RT","label_cond","label","second_stim","first_stim","first_stim_cat","block","third_stim","isRight","subjCode"
"239",785,-0.5,"noise","circle_2","square_5","S",2,"square_5",1,53
"240",1050,-0.5,"noise","square_4","circle_6","C",2,"circle_6",1,53
"241",1145,-0.5,"noise","square_4","square_4","S",2,"circle_7",1,53
"242",726,-0.5,"noise","square_6","circle_3","C",2,"circle_3",1,53
"243",461,-0.5,"noise","square_3","square_3","S",2,"circle_6",1,53
"244",654,-0.5,"noise","circle_7","circle_7","C",2,"square_2",1,53
"245",747,-0.5,"noise","circle_5","circle_5","C",2,"square_6",1,53
"246",794,-0.5,"noise","circle_4","circle_4","C",2,"square_2",1,53
"247",720,-0.5,"noise","square_7","circle_7","C",2,"circle_7",0,53
"248",883,-0.5,"noise","square_4","square_4","S",2,"circle_3",1,53
"249",784,-0.5,"noise","square_3","square_3","S",2,"circle_5",1,53
"250",686,-0.5,"noise","square_6","circle_6","C",2,"circle_6",1,53
"251",1446,-0.5,"noise","circle_6","circle_6","C",2,"square_2",1,53
"252",900,-0.5,"noise","square_7","circle_6","C",2,"circle_6",1,53
"253",1000,-0.5,"noise","square_7","square_7","S",2,"circle_3",1,53
"254",1081,-0.5,"noise","square_2","circle_5","C",2,"circle_5",1,53
"255",721,-0.5,"noise","circle_4","circle_4","C",2,"square_7",1,53
"256",610,-0.5,"noise","square_2","square_2","S",2,"circle_2",1,53
"257",668,-0.5,"noise","circle_5","square_4","S",2,"square_4",0,53
"258",588,-0.5,"noise","square_5","circle_7","C",2,"circle_7",1,53
"259",989,-0.5,"noise","square_4","circle_4","C",2,"circle_4",1,53
"260",769,-0.5,"noise","square_3","square_3","S",2,"circle_2",1,53
"261",1027,-0.5,"noise","circle_5","square_5","S",2,"square_5",1,53
"262",742,-0.5,"noise","square_7","square_7","S",2,"circle_5",1,53
"263",682,-0.5,"noise","circle_2","square_6","S",2,"square_6",1,53
"264",786,-0.5,"noise","square_7","square_7","S",2,"circle_2",1,53
"265",934,-0.5,"noise","circle_3","circle_3","C",2,"square_3",1,53
"266",679,-0.5,"noise","square_6","circle_4","C",2,"circle_4",1,53
"267",887,-0.5,"noise","square_5","circle_5","C",3,"circle_5",1,53
"268",767,-0.5,"noise","circle_6","circle_6","C",3,"square_2",1,53
"269",841,-0.5,"noise","circle_7","circle_7","C",3,"square_3",1,53
"270",671,-0.5,"noise","circle_3","square_2","S",3,"square_2",1,53
"271",814,-0.5,"noise","circle_3","circle_3","C",3,"square_6",1,53
"272",692,-0.5,"noise","circle_6","square_4","S",3,"square_4",1,53
"273",597,-0.5,"noise","square_5","circle_3","C",3,"circle_3",1,53
"274",677,-0.5,"noise","circle_4","circle_4","C",3,"square_3",1,53
"275",559,-0.5,"noise","square_4","circle_4","C",3,"circle_4",1,53
"276",633,-0.5,"noise","square_7","square_7","S",3,"circle_6",1,53
"277",1051,-0.5,"noise","square_2","circle_5","C",3,"circle_5",1,53
"278",597,-0.5,"noise","square_6","circle_4","C",3,"circle_4",1,53
"279",620,-0.5,"noise","circle_6","circle_6","C",3,"square_3",1,53
"280",1021,-0.5,"noise","circle_4","square_5","S",3,"square_5",1,53
"281",1464,-0.5,"noise","circle_2","square_4","S",3,"square_4",1,53
"282",669,-0.5,"noise","circle_7","circle_7","C",3,"square_4",1,53
"283",669,-0.5,"noise","square_5","square_5","S",3,"circle_6",1,53
"284",571,-0.5,"noise","square_6","square_6","S",3,"circle_2",1,53
"285",756,-0.5,"noise","circle_7","circle_7","C",3,"square_2",1,53
"286",593,-0.5,"noise","square_5","square_5","S",3,"circle_2",1,53
"287",649,-0.5,"noise","circle_5","circle_5","C",3,"square_6",1,53
"288",1346,-0.5,"noise","circle_7","square_6","S",3,"square_6",1,53
"289",582,-0.5,"noise","square_7","square_7","S",3,"circle_7",1,53
"290",547,-0.5,"noise","circle_5","circle_5","C",3,"square_7",1,53
"291",708,-0.5,"noise","circle_3","square_4","S",3,"square_4",1,53
"292",733,-0.5,"noise","circle_3","square_3","S",3,"square_3",1,53
"293",735,-0.5,"noise","square_7","square_7","S",3,"circle_4",1,53
"294",661,-0.5,"noise","square_3","square_3","S",3,"circle_5",1,53
"295",853,-0.5,"noise","circle_2","square_3","S",3,"square_3",1,53
"296",496,-0.5,"noise","square_7","circle_2","C",3,"circle_2",1,53
"297",647,-0.5,"noise","square_4","circle_5","C",3,"circle_5",1,53
"298",759,-0.5,"noise","square_7","circle_3","C",3,"circle_3",1,53
"299",1458.03,-0.5,"noise","square_7","square_7","S",1,"circle_3",0,68
"300",1034.56,-0.5,"noise","square_6","circle_3","C",1,"circle_3",1,68
"301",986.99,-0.5,"noise","square_3","circle_6","C",1,"circle_6",1,68
"302",1106.49,-0.5,"noise","square_5","square_5","S",1,"circle_7",1,68
"303",870.8,-0.5,"noise","circle_5","square_6","S",1,"square_6",1,68
"304",821.3,-0.5,"noise","circle_7","square_6","S",1,"square_6",1,68
"305",812.205,-0.5,"noise","circle_2","circle_2","C",1,"square_4",1,68
"306",1600.295,-0.5,"noise","circle_6","circle_6","C",1,"square_6",1,68
"307",675.56,-0.5,"noise","circle_5","circle_5","C",1,"square_4",1,68
"308",1606.35,-0.5,"noise","square_2","circle_5","C",1,"circle_5",1,68
"309",669.2,-0.5,"noise","square_5","square_5","S",1,"circle_4",1,68
"310",522.65,-0.5,"noise","square_5","square_5","S",1,"circle_5",1,68
"311",568.525,-0.5,"noise","square_5","square_5","S",1,"circle_2",1,68
"312",926.255,-0.5,"noise","circle_5","square_7","S",1,"square_7",1,68
